message,sentiment
waaaay haahhahaa working exhibition essay. joyy .,1
oh man time.. ughhhh,-1
promise eat half slice 9 day birthday,1
"?? v�o coi c�i background c?a coi, � v? follow nhi?you ch?c h? ph?i c� ch??ng tr�nh qu?n l� m?i coi ???c h?t l??ng twit",1
cannot focus french paper life her.. due 2 hours.. anyone want get coffee??,1
feeling one around talk goodnight world.,-1
home sick yuck.,-1
oh yeah. teething.,-1
- london! love dress miley demi's shoe ;),1
unfortunately no! damn cd,-1
mellow tune ya! thanks listening ?,1
sold everwhere,-1
: *hugs* sorry hear it.,-1
finished teaching gutiar,1
messed show!! still dope though...thanks tayyib...you rool!,-1
"hungary. really hot budapest. damn, really like chicks, hehe",1
realizing toooo old stuff pulled..my muscle hurt like hell,-1
hot day,1
darling betsy leaving today,-1
"good morning/afternoon europe! eligible vote today, go vote! vote well...",1
"resist!! know resisting, too!! flylady",1
yeah happen off!,1
"cooking fail talaga. late, sad stomach na. bawi nalang ako next time.",-1
dang itt lol oh well. next contest be?,-1
"aoww, happy miley 10 days! know wait! :�",1
go sleep,1
"shattered weeding allotment, stinging like hell feeling sense achievement - thanks tim helping",1
tired rain,-1
cold bath?,1
listened whole dinky yesterday bit weep end,-1
"want come see tour, date could come date seeing mcfly, gutted !!",-1
sorry go stay strong!~,-1
come see,1
take photo sound really good! noooo got done ok that. go?,-1
: dnt need to. signed wordpress automatically detect you. nothing 4 blogspot users.. except email.,-1
hope jayk,1
quite upset able go youth tomorrow,-1
apparenly kind male yankee fans. lol,1
deciding wear dinner...trying get purrrty,1
so...def skippin class tonite never going make,-1
aw! thanks love xo,1
sorry pool fell thru today. retry inna weeks. couple crazy weekend coming me.,-1
happy able move morning. body feel little old shape about...,-1
rlyy really bored school,-1
"good morning homies! thank god getting ontime jax come, 1st class red eye ;)",1
two personal training clients. three kick boxing classes. two taiji class one engineering project. shabby,1
going work book store saturday - love it!,1
"done grocery store, laundry",-1
got nap again.....;( iphone hot97* got wit listen imeem..lol holla*,1
amazing!,1
said great,1
first thing first...followfriday love,1
weres taylor,-1
wanted give wave let know enjoying blog peace,1
"yeah, physically moving too! apparently reporting directly mr. hayward...",-1
sad refer twitter try remember detail night,-1
dollar beer night girl,1
almost done installing sims 3 iphone.,1
"visit doctor afternoon, well monday go school again'",1
"haha going old picture &amp; videos. found eyeris &amp; you, vadim &amp; rum. yarah?",1
"wish could have, night already homie. asked play money guns,",-1
"haha cool, good kidnapping! power twitter eh? use tweetdeck",1
"then, would bury hatchet jaitley... much ask. agree",1
"good morning! getting ready, chandler",1
saying bye car three week today. sad day. cannot wait come back new paint job!!!,1
ugh too! going day good luck!,-1
pretty sure food poisoning,-1
"haha, worry twitter friend, 1 know first",1
starting get whole twitter thing!,1
okay...good know.,-1
taja make feel better,-1
"awesome dude, yay surprise celebrities! got meet year ago, soooo friendly.",1
"good morning new mexico, sorry leaving bed",-1
least try violently hump like (female) dog,-1
"well, going report weekend, may well comfortably. view",1
"lechon cholesterol attack, still good.",1
zacky's hair look good time. sorry deleting,-1
lol wish could boo... monday &amp; def late,-1
know...the movie kind got made feel sad!,-1
- sweetness.,1
hahahaha longer martian wanted move krypton pfft destroyed stuck cloud 9 planetlesss hummmm wuu2?,1
"please tell me, wearing hoodi??",1
weekend - back schoooolio another week,-1
website broken trying find advisor register art history cannot get in!,-1
gugu gaga gerard way hot,1
another follower added twitter.,1
,1
"fun lina, tyler, gary... back school",-1
get 100 follower day using add everyone train pay vip,1
"hope going around head pounding two days. sleep well, feel better!",-1
remembered need wake work,-1
"cool also hotel reply, mb long weekend?",1
feeling good lot thing right now. clean house one them. andrew moving one them.,-1
"хочу у�?троить небольшой конкур�? на плагины wordpress дл�? продвижени�? firefox. будут призы. собираю жюри. , будешь нужен",1
throwing post prom party,1
half day office anyone really exciting plan long weekend?,1
kate's party. brendan's first picture tomorrow.,1
thanks night xoxo,1
adam gave bag bought bamboozle &lt;3 tra-key,1
"bit, yeah, thanks. missed fizzy chris second day row, though.",1
excited paige new apartment!,1
"westfields again, last time long got work",-1
seems like missed interesting day work. depressing. back tue though.. still wonder bout roses. lol,-1
yea jawn cool! awww britt miss love w/o you!,-1
sold first lens,1
time left finish assignment! feel like never coming end,-1
"tt, hear entertainment front douglas year, stripper boo hoo..",-1
bloomberg: treasury little changed record $104 billion note sale - &lt;another record sale debt,-1
writing (or trying to) shall call olivia dinner.. feeling c r e v e ! ? ? ? sorry twitter spamming bit spazzy..,1
yooooou.,1
tgi friday! school start another hour! got bunch colored shirt michael $2 each! really nice! haha,1
"cannot stop thinking young d's song &quot;this money&quot; lol, catchy haha",1
"man! switchfoot going tour w/ blue october summer &amp; coming sa el paso, houston &amp; dallas",-1
ate many jubes,-1
last photo class.,-1
would new hostee got money moment current host way much downtime x,-1
understandableeeeeeee.,-1
coffee-strong cream thank,1
oh shit forgotten yesterday national doudhnut day country,-1
work. lpking likee going softball...,-1
neck still hurting! oh thing torticollis. neck spasm otherwise known rye neck.. went er today,-1
want new laptop.,-1
house back work... beautiful day outside,1
&quot;sore back&quot;... rich!,1
- grocery store 3g dead zone.,-1
looking forward leaving,-1
"supposed home alone whole today gone, get outtttttttt",-1
"poor thing, face! worry, forget you. love much. twitter &quot;twitch&quot; something.",1
bummed versteeg get calder oh well..,-1
too!!,1
"yes, discovered garden",1
"web down, trying update mac o free, anyone help? runnin 10.3",-1
mummy feel like crap,-1
,1
shower.,1
come feel magic feeling since met you.. taylor's soooo wise,1
"got back home, tomorrow bad day ugh",-1
honey...most people speak english language understand it...myself included...lol *hugs*,1
yea! want get 1...any idea where? girl singapore..i hope available,-1
gone treat,1
"thing happened d700 today, dropped lens (24-70 2.8) zoom",-1
"awesome girl night last night. also, played left 4 dead, pretty sweeeet.",1
wearing today!! still legging,-1
"tonight went 10pm. still warm (73), easier dark. air co",-1
crutch yay! cannot run yet... getting haha,1
working today - soooo lonely!! entertain me!!,-1
haha omg thinking day remember 9th grade fcs together always confused u,1
want go home.,-1
look like drawing love order day!,1
work canada alli thanks though,-1
morming hun hru-how waz weekend? get 2 much???,1
ahh - assumed ignoring,-1
bummed...you going 30 minute sunday &amp; cannot come hear ya.,-1
"that, new kind? no, never heard love everything pixar! maybe search youtube later",1
post tweet find you. lurker,1
yeah really girl,-1
happened kurt really sad. hope feel supported.,-1
another live win last night called 89o turn q2c flop coming 8 8 9 x x flopped fullhouse ahaha yay,1
"y'day tried follow electricity, gadget day, pretty successful it, use pc, tv, lights, fans, etc felt good it.",1
thanks siyab..,1
great chat friend. guess seal,1
got paid! outrageous intoxication i... come!,1
"yah, is. ugh. deception internet...",1
aww poor guy got 0 girl taken out. feel bad,-1
"kid heaven concord! soccer games, ton kids, swimming, running around hotel!",1
got hair cut shorter,1
boohoo eliminated forth,-1
wannna drink tonight,1
tweeting first time new imac!,1
well may spent 318k. let u see pan,1
good morning....have great day,1
"coraline 3d horriblee but, get keep glass",1
youth...,1
hope see cousin law eric austin. invited festivities. even 6 flag,-1
satistics work coffee sun. working much sun shining?,1
running way procrastinate; really go get panning folder sorted next year!,-1
"workingggg, almost done. breakin tonight?",1
urghhh food tech exam got feel ill.,-1
"really hope rain. does, plans, soooooooo much fun not!!! ttyl... got go! ily!",-1
siofok week. see ya saturday!,-1
really going bed time. goodnight ((((again)))) hours. ughh,-1
ditto. miss youuuu play date soon!,-1
"pretty much stopped caring game second half, let",-1
need love. true true story. saying heart working anymore......,-1
ha! blog never got offer like that.... yet,1
"sick, sick...wait,",-1
"hey girl, thinking today. hope well miss you!",1
realised stuck habit sleeping 5-6am now..damnit feel crap.,-1
jonas brother line vine trying time today east coast!! ...which linesvinestryingtimes,-1
"got word, june 12th shining star graduating. think ready this. going hot mess friday.",-1
listening music &amp;&amp; f,1
picture gone?,-1
extremely sunburnt. crispy.,-1
thanks congratulated me!! excited second shooter adultshop shoot tomorrow believe... *gulp*... :p,1
scariest gruesome dream ever. getting,-1
know posted good luck wish yo u feltbeat army girl lol xx,1
yeah really bored work,-1
whooooo got homee. feel good,-1
getting ready victoria's wedding!,1
dude...you two first names! pretty dope,1
want patrick gay javert,1
aweeee okaiieee miley!!!,-1
always jealous monroe haha,-1
congrats max - heard news. bubble. congrats guys!,1
lady love though,1
finger hurting,-1
"hungry, frozen pizza &amp; weekly hooray instant food",1
want mommy. want blankie. want voice back...,-1
followfriday .. .. .. .. .. .. ..,1
too! let u dress good reason get back.,1
"make aea boston 2009, sad",-1
work 230-midnight tomorrow. uhoh.,1
ohmygod know liked 3oh!3! awesome.,1
headache,-1
"even though dislike half people vfact (i dislike half person) music shitastic, love jared.",1
"could interesting, work fourth largest premium spirit company world. it, marketing pr",-1
worried guy right now....,-1
goin festival day today hang peep luvv gunna best time!!!!,1
"ok lied, need get sprite tummy hurt opponent trying keep finishing draft 3 aarrgh!",-1
drinking marco negri tonight. reminds wonderful dinner chris mcd's.,-1
hey bummed cu merriman event pls bring rockin 12 sec shirt &amp; left n wood,-1
watching season &quot;over there&quot; -- crazy show. got shower get sleep soon. work come early,-1
"unfortunately, feel like butt right now. cannot tell developing allergy cold.",-1
still home yet,-1
home weather ugly outside!!! back tomorrow hopefully got study test!!!!!,-1
bad cancelling people liquid diarrhoea brain,-1
knowww love movie c movie sometime want 2,1
iphone 3gs still shipped yet... starting think gunna friday,-1
eh eh nape ni,-1
saw saturday () myx morning saying hi manila viewer &amp; stuff. wish mcfly would something like that.,-1
"me, facebook server die?",-1
work.,-1
"hey frat! so, movie fav superhero bust?",-1
: officially made atebits proud winner apple design award wwdc 09,1
doll sunny soooooo,-1
get working conversion script share,1
back work... go back 7am tomorrow 2 day,1
"hehe, new favourite",1
paddling. island cleaning. yay saturday,1
2nd wave frame low $240 : – tempting? yes!,1
finally 80 passing beaver stadium great memz,-1
bit fed lack communication.,-1
nothing much :&quot;&gt; know new songs?,1
wow..rey mysterio lost title jericho...,-1
tweet dream tweeple! getting sum much needed shutteye! praying weather change mind warm tomorrow!,1
wish going hope fun laul!,-1
"getting ready, running errands, open houses! seeing tonight w/my girrrrrrls",1
cold middle summer. wtf? going cut throat out!,-1
stuffed playing hockey! lost,-1
"mrs. poynter, still there?",1
receiving stipend teiskontie,1
forget something morning? nearly ran bottom hill! warm shop! x,-1
hey girl love,-1
fact everyone listen!! &lt;&lt; go link. let video load. watch. love. go buy,1
"ugh, sunday morning drive pouring rain glamour slammer's house chat rehearsal. lunacy!",1
think unfair mom going movie not!! (she going see 'the propasal' ),-1
"life sucks. almost 5 am, 1 min cannot sleep",-1
half hour left class hungry 'p= iv,-1
sad link sunglass long r vintage aviator r hot pink target... fyi!,-1
"aaaw sweet... thank you, q!!! seriously need lose weight...",-1
fat guy falling asleep bus,-1
waduch ternyata salah kasih link nich nuch baru yg bener... 21th,1
trying pick top ten song triple j hottest 100 time!! toooooo hard!!,-1
really go bed now. 2am i´m still tired... hope get sleep.,-1
gud gots make time you..,-1
borred pet sissy tomorrow cat...and pet...i rabbit.. maltipo dog,-1
know do... wish knew say do!!! want break know ... need guy look,-1
ha ha awesome. would think guy crazy,1
"yeah aswell, named chem tour gh tour dvd!! loved gh tour style good though!",-1
"&quot;this song every broken heart...&quot; love nick, inspiration! amazing. wish could denver...",-1
little sick get better sunday,-1
glooooomy day,-1
got home happy jules me.,1
home fighting laziness... trying start studying,-1
want start running cannot raining days...,-1
back colorado fully exempt status!! golf bag make plane,-1
watching information proactive ... remote control battery guess going go sleep now...,-1
"great weekend, hope weather stay good you....ours went south",-1
goin bed think anymore tired knowin supposed life supposed,-1
"good fun, start locking door night....lol",1
lol sad turning older. prob turning 27 time am. lol,-1
yes,-1
freezing death angela &amp; lee barn. watching twilight. ew.,-1
okayyy got run - starting look like vampire guess go outside get sun awhile.,1
feeling like shiiiiiit! need someone take care,-1
still feel lyk shit soz ave bin touch guy got tonsilitus kind gay!,-1
wife got new iphone 3g swap.,-1
new pushing daisy tonight!! first final three,-1
"jokin sunshine there,swap you,i hate sunshine working cannot enjoy",1
know least dollhouse gotten good.,-1
"'he disappoint you, see perfect smile.' ah se eu soubesse",-1
"oh, mom informed longer going house security on!",1
wish pc - need sort parallel window o laptop instead training room - pc,-1
...but working it.,1
bored guys... want eat lunch either x,-1
sorry people english bad...but got date today,1
link work dear. try again.,1
bringing james blunt,1
away tomatoe soup sandwich lunch mmmmmm favourite xxx,1
finished packing miami cannot waitttt,1
yes dm number,1
come cannot see picture?,-1
"newer microsoft company store building nice, even open public anyone want buy microsoft pen shirt",1
english exam tomorrow! oh,-1
? tried countin n song fun drinkin game,1
"need guitar skinnier neck, man. got kind small hands. cannot reach bass",-1
cough really starting bug,-1
woke happy really sunny hehe,1
hey wanted say hi love ya!,1
really getting fed naysayer life. please leave alone disappear,-1
lost cycle partner tomorrow,-1
wish could help,-1
ah okie. guee buh-bye. good night na rin.,1
"weeehh, twitter going down..",-1
going see molly?,1
"feel you, eye fine head killing feel like inflated stupid tree pollen",-1
ugh...cannot sleep,-1
bad day want see friend,-1
ohh see.. sooo busy day cannot catch everything..,-1
ill never end?,-1
haha. think pretty much raining day,1
keep checking help way,1
indexed blog,-1
&lt;-------------- bad luck. **sigh**,-1
madam.. keeping 'zona entertained?,1
finally! new website launched! would love listen feedback,1
partying miami lounge yana birthday!!,1
"squarespace shoul dmaybe give back real cat. eat iphone not, poor winner nothing",-1
"haha. yep. thanks, though. ;)",1
table turning? revolution?... ... poker? french?,-1
sherry zesiger found facebook polly! saw befriended too!,1
ughhhhh sent kelly rowland's choir home!! good!!!!!!,-1
"mom annoyed living crap outta me, aol radio, looking brook &amp; dunn.",-1
well bruin celtic lost maybe next year boy,-1
twitpic last statement ?,1
"jimmy's spur-of-the-moment impersonations,innocent authentic self-deprecation,non-egotistical sweetness- good!",1
"know answer that, doc",1
walked door barking sound,-1
gettin hot little fast.. likin it..,-1
ok maybe swarmplayer work well.. sad panda,-1
whole box liquor hahahah.,1
good morning!!! pray everyone wonderful monday!! love all!: good morning!!! pray everyo..,1
love gorgeous weather wish people stuff,-1
sleepy. loved camping sweetie,1
love love love new song bro made today..by far one favs!!! soon everyone get 2 hear,1
stomach hurt sooooo bad follow stupid diet get better. ughhh,-1
pshh always riight riight say love xd,1
apparently rained heavily mumbai morning sleeping ...awww missed love thunderstorm ...,-1
"got prom dress shoe amazing love , manhatten todaii nd cousin trowing spit ball people fun",1
"butt kicking gym, work til six.",1
chicken tamale awesome,1
"yes lasted long, maybe sky tried thank cannot make rainbow thank bottom heart",1
eberyone savvy connected seen (20 times) connected point. come dude...,1
"night, twiggas! beat",1
"second, melbourne gay. stayed sydney",1
thankful quiet saturday morning ... chore begin!,1
see rali,-1
ahhh...maybe stay little longer,1
love mom! happy mother's day,1
"tired want sleep. instead, would much rather think plan summmer 12 days, feel like foreverr",1
- funniest reaction new moon trailer seen far. wish recorded reaction,1
yeelin's argh co every 5 min show wallpaper go &quot; ah cute! &quot; xd -,1
learning.... bad weather outside.,-1
hellooo howss youu ??,1
good morning everyone! put woodham order first time today help dad out! get ready work! sunny,-1
"bit you, always put dr. always tell broke need surgery",-1
"went 110mph snow mobile, something going partial hill sans seat belt! speed",1
4 battlestar episode watch..then it!,-1
hungryyyyyy stomach eated.,-1
yuk suki last week. feeling v poorly. �?�,-1
loved 5 day row. want go back work tomorrow.,-1
- would good lead singer ruled gig back unfortunately,-1
beautiful day!!,1
baby say miss every then...,1
thievery corporation awesome revise to... stuck inside work beautiful day booo!,-1
getting ready work tomorrow working love most. happy monday all.,-1
enjoying life &amp; love &amp; everything ...,1
cool street fair palm springs. fell love sequin dress practical enough buy... sad,-1
too! something special wife weekend... make breakfast bed something.,1
excited see.... eye open,1
officially &quot;he deserve anyways...&quot; duty making &quot;wack boyfriend&quot; mixtape late lunchdate plans.,-1
need haircut,-1
"kellie!!! you?! twitter stuff... bit slow up-take, getting hang",1
thought actually going see lego wig.,-1
rain.???????,-1
alive!!!!!! go w/ notebook...it make cry stuff,1
"think meant said cannot buy love, know rent it, new lease love",1
"see, *pretends know are*",1
watched day earth stood still preeeetttyyy goood!,1
church morning: great. brunch: great. shopping: great. wishing last day aussies!,1
eleven days. this. miss !!,-1
babysitting monday-day hoping ya'll beautiful day,1
feeling bit sick,-1
a.m shift 'dis week news 10,1
rap cuz rhymed. haha,1
sick &amp; tired study french &amp; germany......... like ...so :p,-1
thanks love.,1
wooooooow! wilin twitter,1
done work...but sit till four dog picked lol. killer headache,-1
wonder try translate odense google translate,1
bye bye home! going miss trivandrum much time,-1
jus performed friendliest church .. pmcc.. eating bobcafe old work,1
"yep is, see pic standing see bump, way sitting",1
besties staying tonite !!,1
dinner star trek imax great company tonight.,1
hi ssssss lol..i getting ready 4 work knew tired song?,-1
hey wats goin hunn?,1
wasabi popcorn watching drag hell. perfect combination.,1
already exited 12% returns. good enough me..,1
birthday half hour!!!,1
silly joke *giggles* smooth hair three,1
buzzmob? really checked long time!,-1
"sure thing, second latte honor",1
think getting twitter updates.,-1
feeling great today,-1
typo work publication. even worse!,-1
thanks bunch keep offer mind,1
sound like fab show seeing russell howard afraid need defo ;o),-1
much tried fight (ignore it) cold,-1
"rofl sure, ever want refer madam lolzo",1
"heya lady!have great evening,sorry bail",-1
love recitial time enjoy going everyone recital's. bit boring love performing helping show,1
well thank kindly followfriday followfriday,1
never realized much truly miss kirstie. take home baltimore?,-1
different? like picture acting fool:,1
"sorry lack sleep thanks fwding mail came today, may another dvd come, sorry! :f",-1
"think sleep abuse cold weather. start week again, another countdown til next weekend. goodnight",1
aw haha got excited first! .....but jfk? boo. actually wearing heart ny shirt right lol crrazy!,-1
know!! got fair absolutely loving here... still cannot believe ten min walk away beach,1
say first firefly.,1
"recognized pic, funny. see tomorrow, nitey nite. working earrrrrrrly",-1
1 10 iphones.,1
hv cereal bt milk some1 bring bowl milk please! (slightly heated). one microwave milk eatn cereal?,-1
knocked pretty badly flu past days..............must damn flight......,-1
"yep, one sartre's famous quotes. 1938 novel, nausea. smart man, jean-paul.",1
wow!! awesome day training power thinking upcoming american dream 2009 bike across america tour! thanks following,1
good morning,1
closing tonight,-1
open bunch window drag one top screen auto maximises love feature - window 7 ftw,1
ugh insomnia one keep company,-1
excited already,1
soothing peppermint tea exxxrta sore throat!,-1
wow...nice bring dead.,1
working day off.,-1
"new gm ad, &quot;reinvention.&quot; impressed; expensive ad company + ad buy = spent $",-1
like super duper mad nice here. shout hot 97. r going bangin summer jam! mad goin,-1
"yes, yes really miss it. think ever acceptable live many people...so sad..",-1
sad cannot use microsoft!!!,-1
amazing like you!,1
miss nz too! miss holidaying la!,-1
home fro gym wat !,-1
so.. found twitter deal. keep hearing people say love &quot;tweet&quot; ...kind make smile. miss,-1
see virtual xray vision,1
goodnight,1
time girl started,-1
"slept today! working sat &amp; sun, needed it! conference officially start afternoon. me-karen=",-1
19 days....it feel like forever...especially today,-1
know footage ended letter-boxed never mind il ave capture xx,-1
ah fun! take lot picture carnival stuff like cotton candy horsies! jealous,-1
lol afford me!,1
certainly connected bunch them.,1
"there, really wanted go though",-1
too!,1
"live smaller town right near anchorage, southcentral alaska awww hopefully start soon!",1
swingen@ fayeeffuif,1
cannot go online yesterday. aww. pity boyfirend imy much!!!,1
going get lesson week guy,1
"cannot believe sister far away, getting farther...",-1
cannot frikin hell wait july fly.,-1
aww lol bed u lol,-1
love summer weatherr,1
please bring miley cyrus fresno. coming current tour,-1
heading debriefing eoc. guess need talk people pull 5 year old body lake,-1
oh no.. another one left...,-1
large glass chocolate milk. life good.,1
"ooooh, ouch! hope yer ok. played? black spot? shane mackie's band? great; old band's shirts.",1
"went bed 11 last night, slept 11 morning still wrecke though. lucky today",1
break,1
rude conversation fall asleep mid sentence. apologise. tired!,-1
"blackpool judges??. stefano anna missed 5 mark final, received several 6’s final",-1
lmao love it! mahasha,1
little surprise kiss unexpected friend. going hell friend ex bf well going hell,-1
yes show something ? heard proverb before.,1
"beer .50 cent cup, three buck get free food grill. taking 7 bucks... good night!",1
hi thanks,1
watching jurassic park sunburn..,-1
rain :@ think gonnna stay cosy bed watch satc xxxx,1
wish mom working today,-1
say morning love today michelle hour 30 min,1
hear going alton tower ...well want say happy...i want go,-1
well rude! driving round lot maybe bypassed rain. dark cloud though,-1
yessss work todayyyy laying out!,1
"welcome cochin. case, welcome back",1
want 2 scream.....................................................i soooo bored......hmph!.,-1
suck advil friend. &lt;3,-1
"hmm,,..well good afternoon to,.. wantin sum action lazy day,..but chance happenin, sadly",-1
too. thanks opportunity. gunslinging record end day? demigod nasty,1
recovering fantastic weekend!!! enjoying current weather status san diego,-1
u history study guide real pain butt,-1
3 week thoses jonas brother demi lovato exited mucho?,1
nervously awaiting season finale grey's really want izzie live pretty sure,-1
is!!! trust me!! cannot stop! like tuenti begining!..i addicted twitter!!,-1
pic coming tomorrooow,1
apparently get comic con ticket refunded. wigsh could say wiggle concert san diego well,-1
new jersey gerick. going manhattan soon watching bunch broadways. height yo!,1
amazed happy since saturday. must sun. figure sad - would explain positivity!,1
"believe huge jump start music careers. yeah, especially top 3.",1
nice work!,1
"thanks much advertising. really mean alot me, nice know people care feeling",1
"okie dokes, going go watch davinci code tellie, ill chat later although last update said :| sucks!",1
"sunny morning big k, lawn mow 2 mile run attempt, urgh",-1
everytime try check page never load take long surf away,-1
uploading pics...that get bored,1
wait. think picture .. noo!! sign david cook,-1
"festival, looking thing decorate new house!",1
i´m back - fetter before! doesn´t matter anyway ^.^,1
cannot use ym,-1
looking forward spending day back farm. sad time garden year,-1
"omg!!they cut volleyball scene?!?!that good start 2 day! man,i hope indicator day go!!",-1
"ah, thank much",1
pub lunch going daughter tea life good,1
mean? :-j haha. try later. whatsmysection whatsmysection whatsmysection whatsmysection,1
thanks me.. nice,1
mama chung indirectly called fat told go diet today. fml,-1
not?!,-1
