sentiment,text,label
positive,EUR atomic number 25 's one-quarter quarter EUR consolidated of of Bank first in profit 2006 of first +_land from to 4.8 operating 6.4 . mn in increased Finnish the the net 2005,1
positive,"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",1
negative,Elcoteq hold furnish St customs . group problems the information because been Petersburg the February to facility In sold the its reason unconfirmed could ; of according Russian service,-1
negative,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",-1
negative,". antiophthalmic factor to 8.6 inward EUR , the second EUR of profit loss 4.0 mn 2008 Operating compared of quarter mn totalled",-1
negative,"Q2 2008 13.6 of to taxation north star state in Q2 In EUR before 2009 mn of 26.8 from . , , profit amounted down EUR",-1
positive,"compare , for from 12-month to megabyte sales .8 and net as m Both the increased .5 year , profit and financial period 2004 respectively EUR10 EUR28 operating . the",1
positive,"on-demand xerox copy the iGen3 the and box have Enso , to . market up teamed short-run tailor Stora to",1
positive,"Benecol fellowship deuce cholesterol brand Raiso The developing 's partner further . also lowering , in will",1
negative,Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,-1
positive,"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",1
negative,"away hs printing External 2009 the between % Ilkka-Yhtyma , . Oy to due player prices house printing net sales printing contract Media 's termination the partly 43.7 in and from I-print business AB December fell the printing of sector in the and fall",-1
positive,"make dwelling house celebrates , next been fiftieth to . which Europe decades distinctive for company year exporting its Central , detached The anniversary several",1
negative,"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",-1
negative,atomic number 25 the the red ink first EUR amounted EUR in 0.9 of to in a half of 2005 profit half of Operating 2006 compared . to mn 0.5 first,-1
positive,"( M-real just about from plant life in buy mln and option Oyj , 50MW Thomson , ) for power gas Finland said it to a 13 natural land Financial - Kyro exercise will eur HELSINKI an Kyroskoski .",1
positive,Etteplan targets to employ at least 20 people in Borl+Ænge .,1
positive,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,1
negative,"4.5 , atomic number 49 net income EUR totaled 2005 3.8 the mn mn period from in EUR . Operating down corresponding",-1
positive,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",1
positive,"1.1 group hoosier state 31 maker Finnish mln mln 319,000 euro in and loss , 249,000 from fiscal fiscal , $ to 2005-06 a a 2004-05 the Vaahto pulp swung net net ended machinery August 2006 the profit euro , . $ paper Oyj 1.4",1
positive,Turnover rose to EUR21m from EUR17m .,1
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,1
negative,"damage Corp. along costs hurt paper paper , magazine and strong Tuesday 's a , of higher 19-percent a , euro . drop reported revenue world the as UPM-Kymmene maker lower largest profit",-1
negative,"le receive level , Adjustment to been `` effective contrast the price in fall in , .",-1
negative,Nokia Siemens Networks has struggled to make a profit in the past two years .,-1
positive,It estimates the operating profit to further improve from the third quarter .,1
negative,"belt down to slow up the crisis growth due However margin . the financial ,",-1
positive,"treble product be without major the company any can , investments . said additional The capacity",1
negative,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",-1
negative,'s thirty-six for EUR 2010 L&T xlv to . million whole the EUR 2009 from for profit net dropped million,-1
negative,Altogether Finnair has canceled over 500 flights because of the strike .,-1
negative,"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said .",-1
negative,last diminish period sales corresponding 109mn EUR in from mn 91.6 . in the to EUR 2005,-1
positive,. expect 2009 addition company significantly to net sales The from,1
positive,"the twelvemonth molarity .8 m , a prior net EUR0 in % of to to amounted to while period m reach EUR0 compared . sales profit Consolidated .9 increased EUR74 operating loss 16 .7",1
positive,potency . Apetit blade is company its 's The,1
negative,"enjoin system of rules train a media that subsequent , testing '' intermittently failed after NTSB In the detection `` the . , advisory",-1
positive,"fellowship to the john cash Hannu , flow . CEO The strengthen balance priority 2009 and increase said sheet for was '' Krook 's ``",1
positive,"restructure , along in 2007 that current to rating lead will repeated And performance ' broker a based the . in Europe expectations buy improvement ` in its clear",1
negative,to inch EUR . 38.1 atomic number 25 2007 Operating mn from profit 55.3 EUR fell,-1
negative,Ruukki Group calculates that it has lost EUR 4mn in the failed project .,-1
negative,"nurture would uttermost , company be in company of its said made redundant the 15 about and a people Initially the . 15 subsidiaries in",-1
negative,"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",-1
negative,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",-1
positive,"gain grant the Choice TM - , Fiskars Teachers . 's 2011 ' for Classroom 's , Brand the recently Learning Scissors World 1 Magazine",1
negative,Export declined by 6 percent to 16.4 million liters .,-1
negative,"fill % bewildered the 11.1 third . an dropping by 1.8 , % to currently Samsung share and ground during quarter overall place",-1
positive,"engineering subscription , mainly during grew percent Elisa 2007 mobile mobile third customers said so-called of . adopting 7 because generation",1
positive,"melioration '' consume Cramo the have made we and 's theutilization Thanksto . adjustments demand in fleet , substantiallyimproved rates of",1
negative,Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,-1
negative,Scanfil issued a profit warning on 10 April 2006 .,-1
positive,"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",1
negative,"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",-1
positive,"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",1
negative,suomi and client company are loyal cooperation . Group ending insurance their Fennia Kesko,-1
positive,along to % reappearance was investment 16.6 . 2004 15.8 compared % in,1
negative,Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,-1
negative,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",-1
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,1
positive,"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",1
positive,"HELSINKI , Finland , Sept. 18 , 2009 ( GLOBE NEWSWIRE ) -- Ixonos Plc expands the company 's smartphone R&D services and establishes a new next-generation smartphone design unit in connection with Ixonos ' site in Jyvaeskylae .",1
negative,"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",-1
negative,"the dispirited showtime quarter a 60.1 net had in . sales electronics manufacturer 2007 from Scanfil 52.2 Finnish year contract EUR of , mn before mn of EUR",-1
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",1
negative,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",-1
negative,the employee The dissemble total of . 240 will people in Finland lay-offs out Okmetic 320,-1
negative,"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",-1
negative,"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",-1
positive,Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,1
negative,masses . for add up the need 25 to estimates personnel to Metso reductions,-1
positive,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,1
positive,The company will also be compensated for acting as a reserve batch plant .,1
positive,"terms ` The the betoken quarter with ' has true better . in seen said steel second turning , 2006 base brokerage through carrying seen European 2006 a of pricing",1
positive,"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",1
negative,"Also the city 's insurance company , If P & C Insurance , has said it will not pay compensation .",-1
positive,"getting even Fttb transmittance optical of networks . increase platform contract and The CXE880 to forward HDO and , designed nodes the path the capacity covers AC800",1
positive,. make headway arrange plant has Finnish batch the Raute Precision glass plant and large US mortar and from Mexico,1
negative,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",-1
positive,"exchange accomplishment expand , it , its company will the . , With said to and America North South offering the",1
positive,"TLT1V EUR2 endure it : broadband jump ,000 data communication the 2010 2009 net profit of .1 m quarter of the Oyj period from EUR995 same - February for HEL 2011 Finnish provider Teleste 4 systems for saw . to",1
positive,higher-than-expected more or less receipts also . individual promotion An generated,1
negative,"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",-1
negative,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,-1
positive,yearly EUR7m atomic number 85 synergy benefits . The estimated are least,1
positive,solution euro increase . Done $ net mln $ ) ( its 3.5 2006 Finnish 3.0 2.3 in mln said developer 2005 ) in from software to profit 4.6 Oyj mln euro mln (,1
positive,CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .,1
negative,"brand 's indiana the , source is . Tornio suspected Outokumpu Finland , mill in",-1
negative,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,-1
negative,"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",-1
negative,"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .",-1
negative,"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",-1
negative,Device volume in the area decreased by 21 % to 2.7 mn units .,-1
negative,0.31 per lucre from apportion dropped to EPS EUR . EUR ) ( 0.21,-1
negative,Incap Furniture is presently negotiating staff cuts .,-1
positive,"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",1
positive,M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,1
positive,grand UNR1V of programme Tuesday to board : Corporation plumbing directors a ( said 12 company-wide and ( Helsinki on ) that its authorised cost management supplier Finnish proceed . ) Uponor has systems reduction with heating the OMX,1
negative,"newsworthiness ( LEM1S : fall Feb Finnish ( for ( 2007 million ADP - its construction 12 for Lemminkainen . 63.5 from m Oyj EUR net ) said 2008 81.1 HEL - , company profit USD ) million 2009 EUR ) 80.6 to today",-1
positive,Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .,1
positive,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,1
positive,"to manager A-Rehu surety improve the project costs and Lahtinen 's Managing , Jouko stabilise . will According , supply",1
negative,ahead ; red ink 18 kroons EUR the million the in made last was mln the 1.15 black year year Ramirent million kroons . 7.3 company,-1
positive,governance accord the with Kaluga regional an . Lemcon investment November cooperation last signed,1
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",1
positive,"able-bodied away has avoid Galvan he far Mr. laying workers . So to , been",1
negative,antiophthalmic factor EPS partake to loss EUR0 per ( . .38 amounted Earnings of ),-1
negative,"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",-1
positive,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,1
positive,"Kapiteeli type a and 1,259.7 of valuate the The acquisition . fair the result doubled property totalled million of as 2,686.2 portfolio EUR",1
negative,Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,-1
negative,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",-1
negative,"2008-2009 stand for deprivation 3.4 , of compared EUR totalled in . a 5.2 EUR the mn mn loss period to Operating in",-1
positive,"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .",1
negative,", in operation gross profit however in by 14.4 , enterprise a from dragged % to % slipped poor down 15.1 solutions performance . ,",-1
negative,"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",-1
positive,"2007 information technology environmental physique Fortum power eastern Vartan said biofuel-fired Oyj . CHP November heat in a and Stockholm on company , permit was granted in harbor energy to 13 an Finnish combined plant",1
positive,"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",1
negative,"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",-1
positive,"Demand seems to have hit bottom now , and some signs of improvement can be seen .",1
negative,"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .",-1
positive,"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",1
negative,"to govern group a in potential after . a from 172p month takeover Shares a back out continued last of of itself Sun Alliance bid high suitor slide Royal , 12-month and",-1
positive,"accord gameboard of performance , , with Nils-Erik 's Managing Eklund is 's very . satisfied Director Line Line Viking to company 's Directors Viking the",1
positive,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,1
positive,Sponda economical 2006 hoosier state % to occupancy rate rose portfolio 91.2 . % from of 's The property 88.8,1
positive,radical fetch of addition a to the performance significant non-recurring . The acquisition will 's Kaupthing Sverige positive,1
negative,The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,-1
negative,legal document manoeuver due use price challenging grade high reference to routine and The to their for . complexity current are,-1
negative,"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",-1
positive,EPS besides EUR red ink per ) share earnings turned to ( per share of 0.08 EUR versus of . 0.04 It,1
positive,2007 from run rear 15.6 52.7 operations mn EUR Cash from to EUR mn in .,1
negative,april .5 indiana of it loss corresponding : m last EUR12 Outotec of year the from HEL 2010 OTE1V Finnish first company said net . m profit in 23 a - period quarter slipped Oyj net EUR7 of engineering .3 today to and construction 2010 the a,-1
negative,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",-1
negative,"building block amid the degenerate eur said margin EBIT mln year fall barrel by from disappointment refining 5 investor in shipping 20 saw of and the Dealers 9.48 eur , mln the volumes quarter was usd a about largely and for rates . which share of tanker per a to a just performance its hit",-1
positive,"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",1
positive,2007 . nerve sword for be Finnish Strips by Bhushan been metal an cranes Indian order has producer awarded to delivered & Konecranes four ladle in KCI hot,1
positive,"fresh , specialist estimates electronics R&D and design mechanical Ixonos for unit will end in engineering its Jyvaeskylae 20 . hire , by of the that in it 2009",1
negative,lessen +_land deposit quarter of Finnish from of quarter 5.6 mn EUR reports to EUR of profit 2006 its 2007 in 4.9 . the in the third mn operating third,-1
negative,Also construction expenses have gone up in Russia .,-1
negative,negotiation Kyro faculty 's starting Finnish to . cut is M-real mill,-1
positive,and ameliorate to gain the incentive . in the proposal simplifies for The key plan Company of stay the the employees proposed,1
negative,"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",-1
positive,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",1
negative,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,-1
positive,Nordea sees a return to positive growth for the Baltic countries in 2011 .,1
negative,Huhtamaki ax hampshire at have costs forced 90 manufacturing its RISING to packaging producer . plant jobs,-1
negative,"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",-1
negative,"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",-1
negative,The operating margin came down to 2.4 % from 5.7 % .,-1
negative,". index finger astatine lower Helsinki , down Helsinki portfolio 0.33 the OMX 0.34 CAP was OMX while The 5,029.25 was index at pct pct 9,364.80",-1
positive,The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,1
positive,"`` Lidskoe Pivo 's investment program foresees the integrated modernization of production , updating transport and logistics infrastructure and developing new marketing instruments , '' Mikshis said .",1
negative,Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,-1
negative,"indium below fell quarter-on-quarter EUR 2010 review % period the by 213 recorded orders during million from the of the However received quarter . the 17 second ,",-1
positive,", along operating room Apple . portable be to including material accessible computers devices 's Windows-based The transferable and Macintosh will iTunes-based iPods",1
negative,"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",-1
positive,", . for psychiatric hospital money box Ratings makes of Financial Liddell acquisition sense Fitch 's says '' strategic `` director Lindsey of , Sampo The Group DB",1
negative,"loanword bulk losses added a Coq the long-term , shareholder . , provided Le Estonia to Ragutis payment 2.779 A. by million interest of 's The in litas on ' also",-1
negative,Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,-1
negative,"angstrom unit additionally company terminate will salaried ' employees employment the . and contracts , nine senior salaried maximum",-1
positive,"embody , 2.7 meter of goal in achieve thirds EUR to company ) which 's to are The savings USD two of realized 2 ( be million 2010 . annual",1
positive,"euro mln , over mln , the hoosier state investment fiscal . 31 mln Finnish same group 11.4 up fiscal to $ of euro said 2005-06 Panostaja 8.6 October period 3.7 in 2006 , its Oyj mln from 2004-05 net 2.8 went $ profit",1
positive,He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .,1
negative,The recent troubles simply make NETeller cheaper .,-1
positive,"suomi hoosier state EUR5 reported m an OKM1V period 2008 up operating August wafer Oyj Helsinki , Okmetic profit from company silicon technology ) 2007 January-June on m corresponding EUR3 the the ( in .3 period ) . Thursday .3 for ( : OMX of 7",1
positive,"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",1
positive,"hoosier state to 123,000 Raute EUR the from 2009 zillion EUR of 1.5 's 2010 quarter of net loss narrowed the , same second . In period",1
negative,to indiana . from time period the EUR Profit mn mn 7.5 January-September fell 1.6 for EUR 2008,-1
negative,to and to a greater extent shake off the a third than other effects side nausea due of out . original participants,-1
negative,"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",-1
negative,"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",-1
positive,"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",1
negative,"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",-1
negative,"meshwork 's 2008 EUR EUR . sale January-June mn 2009 decreased in January-June in mn EUR Kemira from 1,425.1 Finnish to 1,259.6",-1
negative,"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",-1
positive,"600,000 narrow down indorsement 's , the In from group 2010 loss pretax . 400,000 EUR the of EUR quarter to",1
positive,' intersection ameliorate are designed the and machines performance rebuilds . to quality The,1
positive,"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier .",1
positive,"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago .",1
positive,"buy their shuffle pay CEO processes more Corporation '' , . Sihvo and Basware allow Basware Ilkka , services The internal to companies said online handle processes Connectivity to efficient",1
negative,Talentum 's net sales in September were smaller than expected .,-1
positive,"for sustain supplier with a products EUR , funding investor location developer on its and technologies GeoSentric preliminary short-term services , of 6mn a agreed , , leading based . solutions Finnish and",1
negative,"dwell from the murder and functions now , Danske , part , Bank Finland the Sampo support group . of will Bank In administrative staff",-1
negative,"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",-1
negative,"force to communicating off supplier , contract Finland a in and systems Scanfil in , the Oulu temporarily . staff sector , start to negotiations lay , will manufacturer",-1
positive,The company 's strength is its Apetit brand .,1
negative,"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",-1
positive,amend residential execution . decrease in of construction spite its the in the US in Uponor,1
positive,common soldier atomic number 49 is road leading It now Finland company service . ambulance the,1
positive,the and go forward asia net The in East favourably Africaand Pacific sales . growth has in Middle of,1
negative,". decrease stave will Glaston added immediately start , The",-1
negative,Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,-1
negative,Net sales have been eaten by the weak US dollar .,-1
negative,. the 's The grudge insurance over company overtime assignment a union filed,-1
negative,"Nokia 's share price fell less than one percent to 18.70 euros ( $ 25.41 ) in Helsinki , while Siemens shares fell 1.02 percent to 90.19 euros ( $ 122.57 ) in Frankfurt .",-1
positive,EPS originate . from 0.02 eur eur 0.04 to,1
negative,"the 2004 .42 EUR28 to mb decrease profit 12-month year turnover as , the .2 EUR313 net . financial for from Operating while period from m increased compared",-1
negative,F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,-1
negative,"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",-1
negative,", come down When 's . embody % 5 shares information American on September 8 this Nokia 2008 Depositary released by",-1
positive,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",1
positive,"Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement .",1
negative,"his call back vane banking the , clicks mail bogus personal site the imitates that the and bank of which that data finds link , on on he user contained his . a in himself When",-1
negative,"second-quarter 1.13 survive sir david low said report , week . extending recent to down , after 18.38 dealers pct 's was TietoEnator",-1
